RefDes,Name,X (mil),Y (mil),Side,Rotate,Value
C101,CAP_0805,1179.1,1102.4,Top,0,10u
C102,CAP_0805,1179.1,1185,Top,0,10u
C103,CAP_0805,850,1081.3,Top,270,1u
C104,CAP_0805,956.2,418.8,Top,0,10u
C105,CAP_0805,1285.4,972.4,Top,180,1u
C106,CAP_0603,1275.1,772.9,Top,270,100p
C107,CAP_0603,1337.6,672.9,Top,180,6.8n
C108,CAP_0805,1413.4,1395.7,Top,90,10u
C109,CAP_0603,1650.2,772.9,Top,270,100p
C110,CAP_0805,1519.7,1395.7,Top,90,10u
C111,CAP_0603,1600.2,672.9,Top,0,6.8n
C112,CAP_0805,1643.7,976.4,Top,0,1u
C113,CAP_0805,1869,475,Top,180,10u
C114,CAP_0805,1844,1615.2,Top,90,1u
C115,CAP_0805,1931.6,1615.3,Top,90,1u
C116,CAP_0805,1950,1168.8,Top,270,1u
C117,CAP_0805,1608.3,531.5,Top,180,10u
C118,CAP_0805,1608.3,448.8,Top,180,10u
C201,CAP_0603,4675,908.5,Top,90,100p
C202,CAP_0805,5281.2,624.9,Top,90,1u
C203,CAP_0603,4750,1416.5,Top,270,100p
C204,CAP_0603,5175,908.5,Top,90,100p
C205,CAP_0603,5100,1416.5,Top,270,100p
C206,CAP_0805,4937.5,899.9,Top,90,1u
C207,CAP_0805,5050,624.9,Top,90,1u
C208,CAP_0805,5150,1231.3,Top,270,10u
C209,CAP_0805,5150,1081.3,Top,270,10u
C210,CAP_0805,4700,1156.2,Top,90,1u
C301,CAP_0805,2975,1737.4,Top,90,1u
C302,CAP_1210,3150,1130.1,Top,90,22u
C303,CAP_1210,3000,1130.1,Top,90,22u
C401,CAP_0805,3337.7,700.1,Top,0,1u
C402,CAP_0805,3337.7,625.1,Top,0,opt
C501,CAP_1210,300,1194.9,Top,270,opt
C502,CAP_0805,3337.6,437.5,Top,0,opt
D101,PMEG4020ETP,932.1,1225,Top,180,
D102,APL3015SRCPRV-F01,771.6,1456.4,Top,180,
D103,APL3015SRCPRV-F01,977.9,1456.4,Top,180,
D104,PMEG4020ETP,1780.5,1131.4,Top,0,
D401,APL3015SRCPRV-F01,2778.7,700.1,Top,90,
D501,PMEG4020ETP,175,1188.4,Top,270,opt
D502,PMEG4020ETP,431.2,1188.4,Top,270,opt
FB101,BLM18KG221SN1D,2172.8,468.7,Top,180,220 @ 100MHz
FB102,BLM18KG221SN1D,2135.3,1362.5,Top,180,220 @ 100MHz
FB201,BLM18KG221SN1D,5241.5,425,Top,180,220 @ 100MHz
FB301,BLM18KG221SN1D,2589.7,1075,Top,0,220 @ 100MHz
FD1,Fiducial,1462.5,1725,Top,90,
FD2,Fiducial,850,100,Top,90,
FD3,Fiducial,5250,175,Top,90,
J1,644456-8,1450,100,Bottom,180,
J2,644456-8,1290,2000,Bottom,180,
J3,90131-0138,3750,1150,Bottom,90,
J4,644456-8,2350,100,Bottom,180,
J5,644456-8,2150,2000,Bottom,180,
J6,90131-0125,4150,1200,Top,90,opt
J7,644456-8,3250,100,Bottom,180,
J8,644456-8,3050,2000,Bottom,180,
J9,90131-0125,4150,500,Top,90,opt
J10,644456-4,4450,450,Top,90,opt
J11,644456-4,4100,1850,Top,90,
J12,644456-4,4200,1850,Top,90,
J13,644456-4,4300,1850,Top,90,
J101,0022272031,875,1725,Top,0,
J201,B3B-XH-A,4650,1798.4,Top,90,
J202,B3B-XH-A,5206.8,1798.6,Top,90,
J203,644456-4,4925,293.7,Top,0,opt
J204,B3B-XH-A,4931.8,1798.6,Top,90,
J301,644456-4,2650,1425,Top,90,
J302,PPTC081LFBN-RC,3350,1425,Top,90,
J303,PPTC081LFBN-RC,2850,1425,Top,90,
J401,B2B-XH-A,2650.3,405.5,Top,180,
J402,B2B-XH-A,3001.1,400,Top,180,
J501,OSTVN04A150,300,1825,Top,180,opt
J502,644456-2,3325,312.5,Top,0,opt
Q401,2N7002,2614.3,618.9,Top,270,
Q402,2N7002,3158.1,650.2,Top,0,
Q501,IRLZ44N,200,850,Top,90,opt
Q502,IRLZ44N,425,850,Top,90,opt
R1,RES_0603,3587.9,2002.4,Top,0,opt
R101,RES_1210,982.4,1081.2,Top,180,0
R102,RES_0603,747.9,1531.4,Top,180,49k9
R103,RES_0603,1002.3,1537.7,Top,0,49k9
R104,RES_0603,1320.9,897.6,Top,0,100k
R105,RES_0603,1263.4,1393.6,Top,270,464k
R106,RES_0603,1332.2,1391.7,Top,90,100k
R107,RES_0603,1368.9,771,Top,90,24k9
R108,RES_0603,1431.4,864.8,Top,90,49k9
R109,RES_0603,1464.9,962.6,Top,0,6k04
R110,RES_0603,1493.9,864.8,Top,90,53k6
R111,RES_0603,1562.7,771,Top,90,24k9
R112,RES_0603,1594.7,1391.7,Top,90,100k
R113,RES_0603,1608.3,897.6,Top,180,100k
R114,RES_0603,1669.7,1393.6,Top,270,464k
R115,RES_1210,2088.6,1168.8,Top,180,0
R201,RES_0603,5241.5,500,Top,0,1k
R202,RES_0603,4750,908.5,Top,90,100k
R203,RES_0603,4600,916.5,Top,270,100k
R204,RES_0603,4675,1408.5,Top,90,100k
R205,RES_0603,4825,908.5,Top,90,49k9
R206,RES_0603,4825,1416.5,Top,270,100k
R207,RES_0603,5100,908.5,Top,90,100k
R208,RES_0603,5250,916.3,Top,270,100k
R209,RES_0603,5175,1408.5,Top,90,100k
R210,RES_0603,5025,908.5,Top,90,49k9
R211,RES_0603,5025,1416.5,Top,270,100k
R212,RES_0603,4591.5,1187.5,Top,180,24r9
R213,RES_0603,4589.7,1125,Top,0,24r9
R301,RES_0603,3066.5,1725,Top,270,0
R302,RES_0603,3016.5,1300,Top,180,opt
R303,RES_0603,3016.5,1400,Top,180,0
R304,RES_0603,3016.5,1500,Top,180,opt
R305,RES_0603,3158.5,1300,Top,0,opt
R306,RES_0603,3158.5,1400,Top,0,opt
R307,RES_0603,3158.5,1500,Top,0,opt
R401,RES_0603,3327.6,825.1,Top,0,100k
R402,RES_0603,3329.4,768.8,Top,180,24k9
R403,RES_0603,2610.6,731.3,Top,180,100k
